Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
NLIC,Life Insurance,"94,802,013.70",812.00,0.62 %,2026/03/12 02:59:58,890.00-702.00,787.69,791.25,3.31%,"7.11                                                                    (FY:082-083, Q:2)",114.21,124.86,6.50,16.05                                                                    (FY:081-082),3.09,0.4149,0.0378,0.2263
LICN,Life Insurance,"55,000,000.00",881.70,0.96 %,2026/03/12 02:59:57,"1,115.00-773.00",861.49,872.51,-20.00%,"8.17                                                                    (FY:082-083, Q:2)",107.92,174.41,5.06,21.05                                                                    (FY:081-082),2.35,0,0.0469,0.0234
SICL,Non-Life Insurance,"30,984,849.40",665.00,0.15 %,2026/03/12 02:59:56,876.90-588.80,634.86,635.59,-17.39%,"-2.89                                                                    (FY:082-083, Q:2)",-230.10,191.17,3.48,0.32                                                                    (FY:081-082),4.75,0.7355,0.0540,0.3948
NFS,Finance,"7,756,467.47",659.00,0.17 %,2026/03/12 02:59:56,851.00-576.00,641.06,641.38,-10.33%,"-22.52                                                                    (FY:082-083, Q:2)",-29.26,121.25,5.44,1.16                                                                    (FY:067-068),2.80,0.6982,0.0094,0.3538
BNL,Manufacturing And Processing,"1,948,890.00","15,355.00",2 %,2026/03/12 02:46:16,"19,931.69-14,635.80","15,746.49","15,740.43",-24.50%,"32.09                                                                    (FY:082-083, Q:2)",478.50,"3,201.17",4.80,,0,0,0,0.0000
NLO,Manufacturing And Processing,"874,352.40",269.40,3.98 %,2026/02/02 02:56:38,293.20-244.33,256.73,256.73,-2.71%,"48.25                                                                    (FY:082-083, Q:2)",5.58,507.62,0.53,1.05                                                                    (FY:081-082),4.94,0.4870,0.5207,0.5039
GUFL,Finance,"8,679,938.00",580.00,0.87 %,2026/03/12 02:59:57,644.00-460.60,523.40,532.91,-4.61%,"14.21                                                                    (FY:082-083, Q:2)",40.82,148.65,3.90,,10.81,0.3490,0.0709,0.2099
CIT,Investment,"68,057,980.00","1,844.00",0.6 %,2026/03/12 02:59:55,"2,168.00-1,730.80","1,821.10","1,807.70",-7.71%,"19.55                                                                    (FY:082-083, Q:2)",94.32,280.46,6.57,8.00                                                                    (FY:081-082),0,0,0,0.0000
BNT,Manufacturing And Processing,"1,210,000.00","11,899.90",1.02 %,2026/03/12 01:09:38,"13,550.00-10,660.00","11,613.97","11,845.65",-9.85%,"223.96                                                                    (FY:082-083, Q:2)",53.13,"3,021.55",3.94,,0,0,0,0.0000
UNL,Manufacturing And Processing,"921,000.00","46,300.00",0.65 %,2026/03/12 02:11:04,"50,724.00-45,000.00","47,214.67","46,900.14",2.86%,"935.72                                                                    (FY:082-083, Q:2)",49.48,"4,627.69",10.00,"1,842.00                                                                    (FY:081-082)",0,0,0,0.0000
