Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
MKHC,Hydro Power,"10,000,000.00",353.00,4.53 %,2026/03/12 02:59:58,581.00-310.70,363.07,358.81,-39.45%,"8.76                                                                    (FY:082-083, Q:2)",40.30,64.61,5.46,,-2.77,0.8435,0.0565,0.4500
AHL,Hydro Power,"3,400,000.00",543.00,0.37 %,2026/03/12 02:58:49,765.80-462.60,585.18,568.53,-24.90%,"-17.00                                                                    (FY:082-083, Q:2)",-31.94,77.34,7.02,,-7.21,0.7348,0.0034,0.3691
KDL,Hotels And Tourism,"6,300,000.00",918.00,-2.23 %,2026/03/12 02:58:38,"1,212.00-770.00",888.20,872.75,-21.27%,"3.81                                                                    (FY:082-083, Q:2)",240.94,106.97,8.58,0.26                                                                    (FY:081-082),3.36,0,0.0266,0.0133
TAMOR,Hydro Power,"33,325,000.00",432.10,0.02 %,2026/03/12 02:59:32,576.00-409.00,458.27,452.43,-21.15%,"10.86                                                                    (FY:082-083, Q:2)",39.79,115.57,3.74,,-5.71,0.8617,0.0736,0.4677
MHCL,Hydro Power,"8,025,000.00",383.00,0.63 %,2026/03/12 02:59:49,573.20-325.00,393.12,389.62,-31.85%,"16.81                                                                    (FY:082-083, Q:2)",22.78,88.49,4.33,,-2.57,0.7663,0.0813,0.4238
SMJC,Hydro Power,"11,732,000.00",490.10,-1.78 %,2026/03/12 02:59:39,679.30-464.00,501.54,497.16,-24.25%,"3.85                                                                    (FY:082-083, Q:2)",127.30,107.73,4.55,0.25                                                                    (FY:080-081),-2.28,0.8788,0.0502,0.4645
ANLB,Microfinance,"783,432.80","6,410.10",-0.46 %,2026/03/12 02:55:07,"6,800.00-4,895.00","6,200.58","6,177.85",23.27%,"77.90                                                                    (FY:082-083, Q:2)",82.29,428.75,14.95,0.75                                                                    (FY:080-081),0,0,0,0.0000
MAKAR,Hydro Power,"7,600,000.00",565.00,0.55 %,2026/03/12 02:59:35,802.00-515.00,557.51,553.64,-26.04%,"21.06                                                                    (FY:082-083, Q:2)",26.83,114.85,4.92,,1.34,0.8258,0.0705,0.4481
MKHL,Hydro Power,"3,921,568.00",860.00,-0.23 %,2026/03/12 02:59:56,"1,027.00-652.00",792.62,807.55,22.68%,"-3.24                                                                    (FY:082-083, Q:2)",-265.43,99.34,8.66,10.00                                                                    (FY:078-079),8.50,0,0.0201,0.0100
DOLTI,Hydro Power,"5,364,860.00",528.00,0.57 %,2026/03/12 02:59:56,742.00-470.60,521.21,522.21,-25.84%,"3.25                                                                    (FY:082-083, Q:2)",162.46,59.55,8.87,,1.30,0.7885,0.0275,0.4080
BEDC,Hydro Power,"5,440,534.00",528.00,1.34 %,2026/03/12 02:59:43,960.00-500.00,560.36,546.13,-34.81%,"1.08                                                                    (FY:082-083, Q:2)",488.89,48.52,10.88,,-5.77,0.9391,0.0200,0.4796
CITY,Hotels And Tourism,"30,132,000.00",504.00,0.7 %,2026/03/12 02:59:37,998.40-461.00,510.23,497.18,-43.54%,"-6.70                                                                    (FY:082-083, Q:2)",-75.22,98.53,5.12,,-1.22,0.9200,0.0284,0.4742
MCHL,Hydro Power,"5,425,833.00",421.00,-2.12 %,2026/03/12 02:58:43,641.00-392.00,463.13,450.65,-29.24%,"5.29                                                                    (FY:082-083, Q:2)",79.58,-21.92,-19.21,,-9.10,0.8835,-0.0004,0.4415
IHL,Hydro Power,"6,000,000.00",538.90,-0.2 %,2026/03/12 02:59:52,735.00-490.00,547.02,553.10,-24.52%,"4.50                                                                    (FY:082-083, Q:2)",119.76,98.02,5.50,,-1.48,0.8004,0.0430,0.4217
MEL,Hydro Power,"29,000,000.00",300.50,1.01 %,2026/03/12 02:59:59,350.00-255.00,282.56,283.22,-12.90%,"-4.31                                                                    (FY:082-083, Q:2)",-69.72,58.80,5.11,,6.35,0.5211,0.0277,0.2744
RAWA,Hydro Power,"2,800,000.00",740.00,-0.94 %,2026/03/12 02:59:58,940.00-686.00,730.91,729.74,-15.62%,"16.04                                                                    (FY:082-083, Q:2)",46.13,83.18,8.90,,1.24,0.7874,0.0398,0.4136
NRM,Others,"9,675,000.00",445.00,1.18 %,2026/03/12 02:59:59,590.00-390.10,427.75,429.34,-13.93%,"-3.64                                                                    (FY:082-083, Q:2)",-122.25,87.00,5.11,,4.03,0.7254,0.0326,0.3790
ILI,Life Insurance,"50,000,000.00",461.00,1.03 %,2026/03/12 02:59:45,500.00-405.00,448.20,451.07,-4.16%,"10.83                                                                    (FY:082-083, Q:2)",42.57,129.16,3.57,10.53                                                                    (FY:081-082),2.86,0.4105,0.0748,0.2426
USHL,Hydro Power,"2,200,000.00",753.90,-0.78 %,2026/03/12 02:59:59,945.00-588.00,764.19,780.01,-1.96%,"4.63                                                                    (FY:082-083, Q:2)",162.83,94.15,8.01,,-1.35,0.5353,0.0299,0.2826
GCIL,Manufacturing And Processing,"50,244,542.70",448.00,1.84 %,2026/03/12 02:59:53,579.00-400.00,431.45,428.90,-20.99%,"-10.54                                                                    (FY:082-083, Q:2)",-42.50,166.58,2.69,0.53                                                                    (FY:081-082),3.84,0.7318,0.0555,0.3936
TSHL,Hydro Power,"4,925,000.00",811.10,-2.04 %,2026/03/12 02:59:52,989.00-616.80,743.19,747.24,-6.23%,"-4.60                                                                    (FY:082-083, Q:2)",-176.33,65.57,12.37,,9.14,0.4780,0.0116,0.2448
KBSH,Hydro Power,"1,474,596.80","1,700.00",-0.58 %,2026/03/12 02:59:22,"2,625.00-1,618.00","1,748.31","1,726.47",-32.54%,"11.29                                                                    (FY:082-083, Q:2)",150.58,137.96,12.32,0.53                                                                    (FY:081-082),0,0,0,0.0000
RNLI,Life Insurance,"51,968,000.00",499.00,0.2 %,2026/03/12 02:59:55,586.50-416.00,471.25,475.27,-12.46%,"15.24                                                                    (FY:082-083, Q:2)",32.74,144.97,3.44,12.00                                                                    (FY:081-082),5.89,0.5132,0.0826,0.2979
SNLI,Life Insurance,"52,827,878.30",490.00,0.41 %,2026/03/12 02:59:57,709.90-411.60,473.80,482.02,-30.02%,"10.81                                                                    (FY:082-083, Q:2)",45.33,145.03,3.38,15.26                                                                    (FY:081-082),3.42,0.7372,0.0768,0.4070
MEHL,Hydro Power,"8,000,000.00",479.00,3.68 %,2026/03/12 02:59:49,611.00-372.40,434.63,444.68,-21.46%,"4.66                                                                    (FY:082-083, Q:2)",102.79,62.93,7.61,,10.21,0.5532,0.0341,0.2937
ULHC,Hydro Power,"5,098,040.00",555.00,0.58 %,2026/03/12 02:59:48,599.00-411.70,475.22,484.72,3.93%,"-0.06                                                                    (FY:081-082, Q:3)","-9,250.00",98.27,5.65,,16.79,0.2349,0,0.1174
CLI,Life Insurance,"50,000,000.00",485.10,-0.19 %,2026/03/12 02:59:55,565.00-411.00,471.77,478.33,-13.70%,"9.26                                                                    (FY:082-083, Q:2)",52.39,126.52,3.83,20.00                                                                    (FY:081-082),2.83,0.5188,0.0675,0.2932
MANDU,Hydro Power,"13,636,370.00",849.00,0.47 %,2026/03/12 02:59:58,970.00-766.50,809.31,809.18,-7.43%,"26.85                                                                    (FY:082-083, Q:2)",31.62,152.82,5.56,,4.90,0.5946,0.0613,0.3280
HATHY,Investment,"31,711,680.00",950.00,0.42 %,2026/03/12 02:59:59,"1,469.80-875.50",925.49,915.18,-31.75%,"1.23                                                                    (FY:082-083, Q:2)",772.36,67.38,14.10,0.63                                                                    (FY:081-082),2.65,0,0.0152,0.0076
BGWT,Hydro Power,"6,782,399.00",771.10,-0.25 %,2026/03/12 02:59:59,"1,110.00-730.70",782.53,770.90,-26.42%,"9.22                                                                    (FY:082-083, Q:2)",83.63,108.91,7.08,6.00                                                                    (FY:081-082),-1.46,0,0.0378,0.0189
MSHL,Hydro Power,"8,606,600.00",823.90,-0.13 %,2026/03/12 02:59:11,979.00-782.00,868.62,853.92,-15.06%,"17.34                                                                    (FY:082-083, Q:2)",47.51,126.20,6.53,0.79                                                                    (FY:081-082),-5.15,0.7873,0.0475,0.4174
SONA,Manufacturing And Processing,"30,750,500.00",452.40,1.23 %,2026/03/12 02:59:58,523.30-398.00,427.24,429.18,-6.72%,"3.09                                                                    (FY:082-083, Q:2)",146.41,191.42,2.36,,5.89,0.5658,0.0902,0.3280
MMKJL,Hydro Power,"10,000,000.00",579.00,0.35 %,2026/03/12 02:59:47,735.00-528.20,600.07,594.57,-20.25%,"17.13                                                                    (FY:082-083, Q:2)",33.80,98.04,5.91,,-3.51,0.7544,0.0575,0.4059
TVCL,Hydro Power,"18,525,000.00",613.10,-3.14 %,2026/03/12 02:59:52,689.00-377.60,466.99,480.56,14.58%,"-6.75                                                                    (FY:082-083, Q:2)",-90.83,80.67,7.60,,31.29,0.2437,0.0175,0.1306
VLUCL,Hydro Power,"19,125,000.00",588.00,0.68 %,2026/03/12 02:59:58,730.00-516.00,571.33,571.27,-18.33%,"-8.70                                                                    (FY:082-083, Q:2)",-67.59,128.63,4.57,,2.92,0.6636,0.0319,0.3478
MKCL,Others,"7,560,000.00","1,407.00",0.57 %,2026/03/12 02:59:59,"1,900.00-1,333.00","1,410.81","1,383.54",-14.73%,"4.69                                                                    (FY:082-083, Q:2)",300.00,108.71,12.94,0.42                                                                    (FY:081-082),0,0,0,0.0000
CKHL,Hydro Power,"4,000,000.00",722.00,0.56 %,2026/03/12 02:59:58,804.00-550.00,653.65,671.86,-5.99%,"17.54                                                                    (FY:082-083, Q:2)",41.16,95.71,7.54,,10.46,0.3228,0.0460,0.1844
NWCL,Others,"6,875,000.00",898.00,0.66 %,2026/03/12 02:59:59,"1,045.00-740.20",838.89,852.74,-9.20%,"-6.09                                                                    (FY:082-083, Q:2)",-147.45,101.24,8.87,,7.05,0,0.0171,0.0086
HRL,Others,"108,680,000.00",888.00,0.23 %,2026/03/12 02:59:58,"1,139.90-762.10",837.20,843.88,-13.96%,"11.92                                                                    (FY:082-083, Q:2)",74.50,157.02,5.66,,6.07,0,0.0461,0.0231
SARBTM,Manufacturing And Processing,"52,242,750.00",902.00,-0.56 %,2026/03/12 02:59:57,"1,048.00-760.20",876.89,881.89,11.04%,"20.61                                                                    (FY:082-083, Q:2)",43.77,188.92,4.77,15.00                                                                    (FY:081-082),2.86,0,0.0602,0.0301
GMLI,Life Insurance,"7,500,000.00","1,757.20",-1.28 %,2026/03/12 02:59:47,"2,778.00-1,694.00","1,821.76","1,780.51",-10.39%,"3.53                                                                    (FY:082-083, Q:2)",497.79,106.91,16.44,,0,0,0,0.0000
NMIC,Non-Life Insurance,"7,500,000.00","1,365.00",-0.15 %,2026/03/12 02:59:59,"2,703.30-302.30","1,289.43","1,296.20",0.00%,"3.61                                                                    (FY:082-083, Q:2)",378.12,101.65,13.43,,0,0,0,0.0000
CREST,Life Insurance,"7,500,000.00","1,425.90",-0.84 %,2026/03/12 02:59:59,"2,458.20-302.50","1,286.87","1,321.19",0.00%,"3.13                                                                    (FY:082-083, Q:2)",455.56,111.12,12.83,,0,0,0,0.0000
OMPL,Manufacturing And Processing,"6,000,000.00","1,359.00",0.44 %,2026/03/12 02:59:36,"2,167.20-270.00","1,267.34","1,295.93",0.00%,"-12.81                                                                    (FY:082-083, Q:2)",-106.09,97.93,13.88,,0,0,0,0.0000
PURE,Others,"8,000,000.00",989.00,-1.59 %,2026/03/12 02:59:59,"1,327.90-289.30",926.18,979.11,0.00%,"2.31                                                                    (FY:082-083, Q:2)",428.14,101.63,9.73,,6.78,0,0.0224,0.0112
TTL,Others,"8,156,097.00",935.00,-0.11 %,2026/03/12 02:59:56,"1,262.80-366.10",815.65,848.42,0.00%,"2.24                                                                    (FY:082-083, Q:2)",417.41,105.42,8.87,,14.63,0,0.0245,0.0123
SANVI,Hydro Power,"8,800,000.00",835.00,-2.45 %,2026/03/12 02:59:58,"1,060.00-359.00",708.94,752.17,0.00%,"17.33                                                                    (FY:082-083, Q:1)",48.18,118.29,7.06,5.25                                                                    (FY:079-080),17.78,0,0.0449,0.0225
BHCL,Hydro Power,"9,091,013.00",591.00,-1.5 %,2026/03/12 02:59:50,699.00-292.10,511.35,541.20,0.00%,"11.05                                                                    (FY:082-083, Q:2)",53.48,107.34,5.51,,15.58,0.2654,0.0513,0.1584
HIMSTAR,Hydro Power,"3,730,000.00",999.00,-1.48 %,2026/03/12 02:59:58,"1,264.00-252.20",844.06,928.57,0.00%,"-5.84                                                                    (FY:082-083, Q:2)",-171.06,95.31,10.48,,18.36,0,0.0144,0.0072
MABEL,Hydro Power,"3,858,240.00",780.00,0 %,2026/03/12 02:59:55,927.00-317.70,711.50,732.77,0.00%,"2.33                                                                    (FY:082-083, Q:2)",334.76,103.31,7.55,,9.63,0.2413,0.0289,0.1351
DHEL,Hydro Power,"10,305,000.00",810.00,9.46 %,2026/03/12 02:59:59,918.90-402.20,646.17,653.59,0.00%,"-1.65                                                                    (FY:082-083, Q:2)",-490.91,131.27,6.17,,25.35,0.2108,0.0308,0.1208
SAGAR,Manufacturing And Processing,"7,260,000.00","1,965.00",-1.16 %,2026/03/12 02:59:58,"2,439.00-319.50","1,715.01","1,768.82",0.00%,"-7.21                                                                    (FY:082-083, Q:2)",-272.54,128.34,15.31,,0,0,0,0.0000
SWASTIK,Microfinance,"577,500.00","2,892.40",-1.69 %,2026/03/12 02:59:59,"3,400.00-391.70","2,343.59","2,370.48",0.00%,"28.94                                                                    (FY:082-083, Q:2)",99.94,157.58,18.36,,0,0,0,0.0000
BUNGAL,Hydro Power,"8,300,000.00",665.00,-0.24 %,2026/03/12 02:59:59,822.00-302.40,628.55,636.10,0.00%,"6.68                                                                    (FY:082-083, Q:2)",99.55,88.61,7.50,,5.80,0.3022,0.0347,0.1685
BANDIPUR,Hotels And Tourism,"28,299,930.00",965.00,-1.93 %,2026/03/12 02:59:58,"1,233.00-285.00",841.83,848.97,0.00%,"-0.53                                                                    (FY:082-083, Q:2)","-1,820.75",92.47,10.44,,14.63,0,0,0.0000
JHAPA,Others,"3,801,900.00","1,464.00",-2.27 %,2026/03/12 02:59:55,"1,749.00-293.40","1,238.73","1,238.73",0.00%,"5.53                                                                    (FY:082-083, Q:2)",264.74,100.92,14.51,,0,0,0,0.0000
SAIL,Manufacturing And Processing,"16,312,500.00","1,360.00",-0.58 %,2026/03/12 02:59:59,"1,690.00-301.70","1,082.23","1,082.23",0.00%,"1.92                                                                    (FY:082-083, Q:2)",708.33,110.63,12.29,,0,0,0,0.0000
SYPNL,Manufacturing And Processing,"13,081,371.00","1,850.00",-2.17 %,2026/03/12 02:59:58,"2,255.90-319.80","1,475.11","1,475.11",0.00%,"1.20                                                                    (FY:082-083, Q:2)","1,541.67",109.64,16.87,,0,0,0,0.0000
SABBL,Development Bank Limited,"5,223,880.00",948.60,10 %,2026/03/12 02:59:41,948.60-300.00,599.10,599.10,0.00%,"-3.98                                                                    (FY:082-083, Q:2)",-238.34,101.31,9.36,,58.34,-0.0000,0.0180,0.0090
RSML,Manufacturing And Processing,"19,000,000.00",893.30,10 %,2026/03/12 01:56:29,893.30-300.00,577.80,577.80,0.00%,"14.47                                                                    (FY:082-083, Q:2)",61.73,490.54,1.82,,54.60,-0.0000,0.1228,0.0614
HFIN,Hotels And Tourism,,111.80,9.93 %,2026/03/12 02:30:24,111.80-101.70,111.80,111.80,0.00%,"0.00                                                                    (FY:, Q:0)",0.00,0.00,111.80,,0.00,-0.0000,0.0018,0.0009
